43.5660711044, 1.39818456423;"{""type"": ""Point"", ""coordinates"": [1.398184564233116, 43.566071104360866]}";BELLEFONTAINE;A
43.5699134283, 1.3922790686;"{""type"": ""Point"", ""coordinates"": [1.392279068599429, 43.56991342825253]}";BASSO-CAMBO;A
43.6182973532, 1.39690850066;"{""type"": ""Point"", ""coordinates"": [1.396908500662062, 43.61829735316725]}";Ancely;T1
43.6182973532, 1.39690850066;"{""type"": ""Point"", ""coordinates"": [1.396908500662062, 43.61829735316725]}";Ancely;T2
43.6344257496, 1.39127465013;"{""type"": ""Point"", ""coordinates"": [1.391274650130047, 43.63442574963648]}";Pasteur-Mairie de Blagnac;T1
43.6404039261, 1.38234386982;"{""type"": ""Point"", ""coordinates"": [1.382343869823462, 43.64040392610105]}";Patinoire-Barradels;T1
43.660268253, 1.36949763021;"{""type"": ""Point"", ""coordinates"": [1.369497630212081, 43.6602682529677]}";Beauzelle;T1
43.6633648655, 1.3626639701;"{""type"": ""Point"", ""coordinates"": [1.362663970095678, 43.66336486545739]}";Aéroconstellation;T1
43.5897062232, 1.42157162035;"{""type"": ""Point"", ""coordinates"": [1.42157162035086, 43.58970622319929]}";Déodat de Séverac;T1
43.5897062232, 1.42157162035;"{""type"": ""Point"", ""coordinates"": [1.42157162035086, 43.58970622319929]}";Déodat de Séverac;T2
43.6313235613, 1.37432766518;"{""type"": ""Point"", ""coordinates"": [1.37432766518217, 43.631323561287545]}";Aéroport;T2
43.6313235613, 1.37432766518;"{""type"": ""Point"", ""coordinates"": [1.37432766518217, 43.631323561287545]}";Aéroport;BUS
43.5928105936, 1.41814166011;"{""type"": ""Point"", ""coordinates"": [1.418141660110676, 43.5928105936446]}";Arènes;T1
43.5928105936, 1.41814166011;"{""type"": ""Point"", ""coordinates"": [1.418141660110676, 43.5928105936446]}";Arènes;T2
43.6008152413, 1.4113525006;"{""type"": ""Point"", ""coordinates"": [1.411352500598437, 43.60081524125533]}";Cartoucherie;T1
43.6008152413, 1.4113525006;"{""type"": ""Point"", ""coordinates"": [1.411352500598437, 43.60081524125533]}";Cartoucherie;T2
43.6140851666, 1.39817468057;"{""type"": ""Point"", ""coordinates"": [1.398174680572347, 43.614085166577915]}";Arènes Romaines;T1
43.6140851666, 1.39817468057;"{""type"": ""Point"", ""coordinates"": [1.398174680572347, 43.614085166577915]}";Arènes Romaines;T2
43.6367166246, 1.38993869259;"{""type"": ""Point"", ""coordinates"": [1.389938692590659, 43.636716624559725]}";Place du Relais;T1
43.6362405571, 1.38520293518;"{""type"": ""Point"", ""coordinates"": [1.385202935178545, 43.63624055707644]}";Odyssud-Ritouret;T1
43.6548487704, 1.37356432177;"{""type"": ""Point"", ""coordinates"": [1.373564321768787, 43.65484877036521]}";Andromède-Lycée;T1
43.5856601855, 1.42779329948;"{""type"": ""Point"", ""coordinates"": [1.427793299482964, 43.58566018549856]}";Croix de Pierre;T1
43.5856601855, 1.42779329948;"{""type"": ""Point"", ""coordinates"": [1.427793299482964, 43.58566018549856]}";Croix de Pierre;T2
43.624394577, 1.38675527191;"{""type"": ""Point"", ""coordinates"": [1.386755271905605, 43.624394577008886]}";Nadot;T2
43.6032011422, 1.4077257183;"{""type"": ""Point"", ""coordinates"": [1.407725718302199, 43.60320114217057]}";Casselardit;T1
43.6032011422, 1.4077257183;"{""type"": ""Point"", ""coordinates"": [1.407725718302199, 43.60320114217057]}";Casselardit;T2
43.5921898101, 1.44046900865;"{""type"": ""Point"", ""coordinates"": [1.440469008645495, 43.59218981006919]}";Ile du Ramier;T1
43.5921898101, 1.44046900865;"{""type"": ""Point"", ""coordinates"": [1.440469008645495, 43.59218981006919]}";Ile du Ramier;T2
43.5927486159, 1.44403347317;"{""type"": ""Point"", ""coordinates"": [1.444033473170332, 43.5927486159459]}";Palais de Justice;T1
43.5927486159, 1.44403347317;"{""type"": ""Point"", ""coordinates"": [1.444033473170332, 43.5927486159459]}";Palais de Justice;T2
43.6090823491, 1.4020035316;"{""type"": ""Point"", ""coordinates"": [1.402003531603409, 43.609082349108064]}";Purpan;T1
43.6090823491, 1.4020035316;"{""type"": ""Point"", ""coordinates"": [1.402003531603409, 43.609082349108064]}";Purpan;T2
43.6309467033, 1.39172507125;"{""type"": ""Point"", ""coordinates"": [1.391725071251136, 43.630946703271576]}";Guyenne-Berry;T1
43.6447653884, 1.37743420158;"{""type"": ""Point"", ""coordinates"": [1.377434201578138, 43.644765388354415]}";Grand Noble;T1
43.6485884084, 1.37561647096;"{""type"": ""Point"", ""coordinates"": [1.375616470957499, 43.64858840844882]}";Place Georges Brassens;T1
43.6288573862, 1.37934696605;"{""type"": ""Point"", ""coordinates"": [1.379346966051183, 43.62885738620252]}";Daurat;T2
43.5947873539, 1.40938898337;"{""type"": ""Point"", ""coordinates"": [1.409388983365309, 43.5947873538877]}";Zénith;T1
43.5947873539, 1.40938898337;"{""type"": ""Point"", ""coordinates"": [1.409388983365309, 43.5947873538877]}";Zénith;T2
43.6255497481, 1.39343953464;"{""type"": ""Point"", ""coordinates"": [1.393439534638027, 43.62554974806284]}";Servanty-Airbus;T1
43.5893165115, 1.43179263473;"{""type"": ""Point"", ""coordinates"": [1.431792634726547, 43.5893165114655]}";Av. Muret;T1
43.5893165115, 1.43179263473;"{""type"": ""Point"", ""coordinates"": [1.431792634726547, 43.5893165114655]}";Av. Muret;T2
43.5926217456, 1.43544522543;"{""type"": ""Point"", ""coordinates"": [1.435445225426274, 43.592621745647556]}";Fer à cheval;T1
43.5926217456, 1.43544522543;"{""type"": ""Point"", ""coordinates"": [1.435445225426274, 43.592621745647556]}";Fer à cheval;T2
